Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
Disrupt-Striker Missile, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.15, -1, -1, -1, 5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 25000, 2, 0, Linear, 350, 400, 10000, 6000
Drain-Striker Missile, 10, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -1, Striker Missile Drain Effect, 1, 1, 0, 0, 0, 0, NoFallOff, 5, 2000, 2, 0, Linear, 350, 400, 10000, 6000
Striker Missile Drain Effect, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 400, 10, 10
Devastator Fusion Torpedo, 1, Energy, Energy, Energy, Energy, -1, -1, 2, -1, -1, 2, 0.001, -1, Devastator Torpedo, 1, 0, 0, 0, 0, 0, NoFallOff, 3, 5000, 10, 0, Linear, 200, 200, 10000, 120
Shieldbreaker-Devastator Torpedo, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 50, -1, AryxEnergyTorp, 1, 0, 0, 0, 0, 0, NoFallOff, 3, 5000, 10, 0, Linear, 200, 200, 10000, 120
Devastator Torpedo, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, -1, 2, 1E-06, -1, AryxKineticFrags, 100, 360, 0, 0, 0, 0, NoFallOff, 8, 100000, 5, 0, Linear, 300, 300, 10000, 3600
AryxEnergyTorpEMPCharge, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 0.01, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 10, 0
AryxEnergyTorp, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 50, -1, AryxEnergyTorpEMPCharge, 1, 0, 0, 0, 0, 0, NoFallOff, 10, 5000, 5, 0, Linear, 300, 300, 10000, 3600
Ion Devastator Torpedo, 1, Energy, Energy, Energy, Energy, -1, -1, 2, -1, -1, 2, 0.001, -1, Concussion Devastator Launched, 1, 0, 0, 0, 0, 0, NoFallOff, 3, 5000, 10, 0, Linear, 200, 200, 10000, 120
Concussion Devastator Launched, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1E-06, -1, Concussion Devastator EMP, 1, 1, 0, 0, 0, 0, NoFallOff, 1, 5, 1, 0, Linear, 300, 300, 10000, 3600
Concussion Devastator EMP, 1, Energy, Energy, Energy, Energy, 1, 1, 1, 1, 1, 10, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 1, 1, 1, 0, Linear, 0, 40, 80, 20
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Sabre Missile Full Speed, 1, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, Missile Frags, 50, 60, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Disrupt-Sabre Missile, 5000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3, 6750, 1, 0, Linear, 250, 550, 10000, 6000
Lancer Missile Full Speed, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 15000, 1, 0, Linear, 400, 550, 10000, 6000
Missile Frags, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1E-05, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 100, 100, 5000, 30
Armoured-Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 5, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 9000, 2, 0, Linear, 100, 350, 10000, 6000
Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Sabre Missile Full Speed, 1, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, Missile Frags, 50, 60, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Disrupt-Sabre Missile, 5000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3, 6750, 1, 0, Linear, 250, 550, 10000, 6000
Lancer Missile Full Speed, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 15000, 1, 0, Linear, 400, 550, 10000, 6000
Missile Frags, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1E-05, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 100, 100, 5000, 30
Armoured-Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 5, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 9000, 2, 0, Linear, 100, 350, 10000, 6000
Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Sabre Missile Full Speed, 1, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 2, 3, 1, -1, Missile Frags, 50, 60, 0, 0, 0, 0, NoFallOff, 5, 12500, 2, 0, Linear, 250, 550, 10000, 6000
Disrupt-Sabre Missile, 5000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3, 6750, 1, 0, Linear, 250, 550, 10000, 6000
Lancer Missile Full Speed, 1, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 25, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 15000, 1, 0, Linear, 400, 550, 10000, 6000
Missile Frags, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1E-05, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 100, 100, 5000, 30
Armoured-Sabre Missile, 10, Kinetic, Kinetic, Energy, Energy, -1, -1, -1, 2.5, 5, 3, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 5, 9000, 2, 0, Linear, 100, 350, 10000, 6000
Flechette84mmAmmoDef, 1, Kinetic, Kinetic, Kinetic, Kinetic, 0.5, 1.5, -1, 2.5, -1, 2, 1, -1, Flechette84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Disruptor84mmAmmoDef, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, Disruptor84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Flechette84mmFullSpeed, 1, Kinetic, Kinetic, Kinetic, Kinetic, 1, 2, -1, -1, -1, 2, 1, -1, Missile Frags, 50, 180, 0, 0, 0, 0, NoFallOff, 2.5, 3500, 1, 0, Linear, 250, 600, 5000, 6000
Disruptor84mmFullSpeed, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 2.5, 800, 2.5, 0, Linear, 900, 600, 5000, 6000
Flechette84mmAmmoDef, 1, Kinetic, Kinetic, Kinetic, Kinetic, 0.5, 1.5, -1, 2.5, -1, 2, 1, -1, Flechette84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Disruptor84mmAmmoDef, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, Disruptor84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Flechette84mmFullSpeed, 1, Kinetic, Kinetic, Kinetic, Kinetic, 1, 2, -1, -1, -1, 2, 1, -1, Missile Frags, 50, 180, 0, 0, 0, 0, NoFallOff, 2.5, 3500, 1, 0, Linear, 250, 600, 5000, 6000
Disruptor84mmFullSpeed, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 2.5, 800, 2.5, 0, Linear, 900, 600, 5000, 6000
Missile Frags, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1E-05, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 100, 100, 5000, 30
Flechette84mmAmmoDef, 1, Kinetic, Kinetic, Kinetic, Kinetic, 0.5, 1.5, -1, 2.5, -1, 2, 1, -1, Flechette84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Disruptor84mmAmmoDef, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, Disruptor84mmFullSpeed, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 20, 5000, 30
Flechette84mmFullSpeed, 1, Kinetic, Kinetic, Kinetic, Kinetic, 1, 2, -1, -1, -1, 2, 1, -1, Missile Frags, 50, 180, 0, 0, 0, 0, NoFallOff, 2.5, 3500, 1, 0, Linear, 250, 600, 5000, 6000
Disruptor84mmFullSpeed, 1, Energy, Energy, Energy, Energy, 0.25, 1.5, -1, -1, -1, 2, 20, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 2.5, 800, 2.5, 0, Linear, 900, 600, 5000, 6000
Missile Frags, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 1E-05, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 100, 100, 5000, 30
AryxFlakAmmoWC, 100, Kinetic, Kinetic, Kinetic, Kinetic, -1, 5, 0.5, -1, -1, -1, 2, -1, AryxFlakShrapWC, 8, 360, 0, 0, 0, 0, NoFallOff, 1, 0, 0, 0, Linear, 0, 800, 900, 0
AryxFlakShrapWC, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 100, 25, 0
AryxHeavyFlakAmmoWC, 200, Kinetic, Kinetic, Kinetic, Kinetic, -1, 5, 0.5, -1, -1, -1, 2, -1, AryxHeavyFlakShrapWC, 16, 360, 0, 0, 0, 0, NoFallOff, 1, 0, 1, 0, Linear, 0, 800, 2000, 0
AryxHeavyFlakShrapWC, 300, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 100, 25, 0
Oculus Laser, 6.25, Energy, Energy, Energy, Energy, 0.75, -1, 0.5, -1, -1, 1.5, 7, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 3000, 0
AryxLightCoilgunAmmoWC, 5000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 25, -1, AryxLightCoilgunPiercingAmmoWC, 1, 0, 0, 0, 0, 0, NoFallOff, 3, 15000, 2, 0, Curve, 0, 0, 9000, 6000
AryxLightCoilgunPiercingAmmoWC, 21750, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 0.1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 1000, 6000
AryxSmallFocusBeamAmmo, 50, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, 1.5, 10, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 2000, 0
AryxSmallFocusPulseAmmo, 4500, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, 3, 15, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 2000, 0
25mm CODEX Ammunition, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 650, 1200, 0
25mm CODEX Ammunition, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 650, 1200, 0
25mm CODEX Ammunition, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 650, 1200, 0
25mm CODEX Ammunition, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 650, 1200, 0
25mm CODEX Ammunition, 30, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 650, 1200, 0
Helios Energy Bolt, 4000, Energy, Energy, Energy, Energy, -1, -1, 0.75, -1, -1, -1, 10, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 2.5, 12500, 1, 0, Linear, 0, 2000, 10000, 0
AryxRailgunAmmoWC, 60000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 2, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 9000, 10000, 6000
AryxPDRailgunAmmo, 15500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 4999, 10000, 6000
AryxNucleonLaserAmmo, 200, Energy, Energy, Energy, Energy, -1, -1, 0.5, -1, -1, 5, 20, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 400, 0
AryxShotgunAmmoWC, 6000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 2, 3, -1, -1, 5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1500, 1000, 6000
Smart Projectile Ammo, 650, Kinetic, Kinetic, Kinetic, Kinetic, -1, 5, 1.25, -1, -1, 2, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 200, 700, 1500, 1500
Energy Smart Ammo, 600, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 2, 7.5, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 200, 700, 1500, 1500
MainAmmo, 2250, Energy, Energy, Energy, Energy, -1, -1, -1, 2.5, -1, -1, 3, -1, None, 0, 0, 4, 10000, 2, 0, Pooled, 0, 0, 0, 0, NoFallOff, 0, 0, 10000, 0
AWELightningAmmo, 120, Energy, Energy, Energy, Energy, 0, 0, -1, -1, -1, -1, 1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 600, 10000, 0
EMP Charge, 1000, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, 100, 1, 0, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0
Trident Plasma Beam, 300, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 10, 0, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 4000, 0
AryxWarriorAmmoAP, 1050, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, 2, 1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 900, 5000, 0
120mm Heavy Shell, 750, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 4, -1, AryxKineticFrags, 10, 360, 0, 0, 0, 0, NoFallOff, 3, 1500, 1, 0, Linear, 0, 900, 3500, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
240mm Heavy Shell, 1250, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 2, -1, AryxKineticFrags, 25, 360, 0, 0, 0, 0, NoFallOff, 3, 1000, 1.5, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
240mm Heavy Shell, 1250, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, -1, 2, -1, AryxKineticFrags, 25, 360, 0, 0, 0, 0, NoFallOff, 3, 1000, 1.5, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
480mm Heavy Shell, 5000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.5, 2, -1, AryxKineticFrags, 40, 360, 0, 0, 0, 0, NoFallOff, 4, 7000, 2, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
600mm Heavy Shell, 6000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.5, 2, -1, AryxKineticFrags, 50, 360, 0, 0, 0, 0, NoFallOff, 5, 10000, 2, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
600mm Heavy Shell, 6000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.5, 2, -1, AryxKineticFrags, 50, 360, 0, 0, 0, 0, NoFallOff, 5, 10000, 2, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
600mm Heavy Shell, 6000, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, 1.5, 2, -1, AryxKineticFrags, 50, 360, 0, 0, 0, 0, NoFallOff, 5, 10000, 2, 0, Linear, 0, 900, 4000, 0
AryxKineticFrags, 500, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, -1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 50, 0
Quasar Energy Bolt, 20000, Energy, Energy, Energy, Energy, -1, -1, -1, -1, 0.5, 1, 15, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 3, 50000, 1, 0, Linear, 0, 1800, 5000, 0
Quasar Energy Bolt, 10000, Energy, Energy, Energy, Energy, -1, -1, -1, 0.95, 0.5, -1, 15, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 3, 50000, 1, 0, Linear, 0, 1800, 5000, 0
