Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
Athena 115mm Railgun Turret, 5000, 0, 0, 1, Accurate, 0.008, 0.008, 1, 120, 400, 0, 1000, 0, 0, 0,    AryxPDRailgunAmmo
Nucleon Laser Shotgun, 0, 0, 15, 5, Accurate, 0.05, 0.05, 0.05, 600, 300, 0, 1000, 0, 0, 0,    AryxNucleonLaserAmmo
Mace Combat Shotgun, 0, 0, 10, 1, Accurate, 0, 0, 0.01, 200, 300, 0, 1000, 0, 0, 0,    AryxShotgunAmmoWC
Sentinel Smartgun, 0, 0, 10, 45, Advanced, 0.04, 0.04, 0.025, 675, 300, 0, 1000, 0, 0, 0,    Smart Projectile Ammo   Energy Smart Ammo
Sunderer Laser, 0, 0, 0, 1, Off, 0, 0, 0.01, 3600, 4000, 0, 1000, 0, 0, 0,    MainAmmo   AWELightningAmmo
Aegis Tactical Module, 1000, 0, 0, 1, Off, 0, 0, 0.01, 1, 3600, 1000, 1000, 17, 0, 0,    EMP Charge
Trident Beam Cannon, 4000, 0, 0, 1, Accurate, 0.0075, 0.006, 0.05, 3600, 600, 0, 1000, 0, 360, 600,    Trident Plasma Beam
Warrior Heavy Gatling, 1500, 0, 0.25, 1, Accurate, 0.01, 0.01, 0.05, 420, 0, 0, 1000, 0, 0, 0,    AryxWarriorAmmoAP
Whirlwind Light Cannon, 0, 0, 0.5, 1, Advanced, 0.01, 0.01, 0.01, 30, 480, 0, 1000, 0, 0, 0,    120mm Heavy Shell   AryxKineticFrags
Cyclone Heavy Cannon, 0, 0, 0.2, 1, Advanced, 0.0035, 0.0035, 0, 120, 300, 0, 70000, 9000, 1, 0,    240mm Heavy Shell   AryxKineticFrags
Cyclone Heavy Cannon, 0, 0, 0.2, 1, Advanced, 0.0035, 0.0035, 0, 120, 300, 0, 70000, 9000, 1, 0,    240mm Heavy Shell   AryxKineticFrags
Hurricane Heavy Cannon, 0, 0, 0.34, 1, Advanced, 0.0025, 0.0025, 0, 120, 600, 0, 70000, 9000, 2, 600,    480mm Heavy Shell   AryxKineticFrags
Typhoon Heavy Cannon, 0, 0, 0.5, 1, Advanced, 0.0025, 0.0025, 0, 120, 900, 0, 70000, 9000, 3, 900,    600mm Heavy Shell   AryxKineticFrags
Tempest Heavy Cannon, 0, 0, 0.1, 1, Accurate, 0, 0, 0, 120, 600, 0, 70000, 9000, 1, 0,    600mm Heavy Shell   AryxKineticFrags
Tempest Heavy Cannon, 0, 0, 0.1, 1, Accurate, 0, 0, 0, 120, 600, 0, 70000, 9000, 1, 0,    600mm Heavy Shell   AryxKineticFrags
Magnetar Shock Cannon, 0, 0, 0, 1, Accurate, 0.0025, 0.0025, 0, 360, 900, 99, 300, 30, 0, 0,    Quasar Energy Bolt
Quasar Shock Cannon, 0, 0, 0, 1, Accurate, 0.0025, 0.0025, 0, 120, 600, 99, 300, 30, 0, 0,    Quasar Energy Bolt
Hyperion Torpedo Launcher, 12500, 1000, 0, 1, Off, 0, 0, 0, 30, 1200, 0, 1, 0, 1, 0,    Thane Fusion Warhead   Thane Fusion Warhead Fired   Javelin Kinetic Penetrator   Javelin FullSpeed   Breacher Armourbuster Warhead   Breacher Armourbuster FullSpeed   Desolator Field Warhead   AWE Desolator Supernuke   AryxDesolatorFieldCharge   AryxDesolatorPullCharge   Broadsword Disruptor Warhead   Broadsword Disruptor FullSpeed   Annihilator Antimatter Torpedo Hyperion   Annihilator Torpedo Hyperion   Large Antimatter Bolt
Kingsword Casaba Lance, 0, 0, 0, 1, Off, 0, 0, 0, 120, 7200, 0, 70000, 9000, 1, 0,    Kingsword Nuclear Charge
OLYMPUS AM CATALYST CANNON, 0, 0, 0, 1, Accurate, 0, 0, 0, 30, 600, 0, 70000, 9000, 0, 0,    Singularity Bolt   Singularity Frags   Singularity Gravity   Singularity Horizon   Singularity Gravity Damage   Singularity Stage 2
Reaper Pulse Cannon, 5000, 0, 0.45, 1, Accurate, 0.0025, 0.0025, 0, 18, 1800, 1000, 6000, 150, 0, 0,    AryxReaperAmmoWC   Reaper Antimatter Bolt
Artemis 250mm Railgun, 0, 0, 0, 1, Off, 0, 0, 1, 60, 600, 0, 1000, 0, 0, 0,    AryxRailgunAmmoWC
Ares 1200mm Heavy Railgun, 0, 0, 0, 1, Accurate, 0, 0, 0, 30, 600, 0, 70000, 9000, 0, 0,    AryxGaussAmmoWC
Radar, 50000, 0, 0, 1, Off, 0, 0, 0, 60, 0, 0, 70000, 9000, 0, 0,    Radiowave
Radar, 50000, 0, 0, 1, Off, 0, 0, 0, 60, 0, 0, 70000, 9000, 0, 0,    Radiowave
Focus Beam Turret, 0, 0, 0, 1, Accurate, 0.018, 0.018, 0, 3600, 0, 0, 8000, 0, 61, 300,    AryxSmallFocusBeamAmmo   AryxSmallFocusPulseAmmo
Interceptor PD, 5000, 0, 0.01, 60, Accurate, 0.039, 0.039, 0.25, 360, 300, 0, 1000, 0, 0, 0,    Interceptor PD Rocket
Small Hangar Bay, 10000, 0, 0, 1, Off, 0, 0, 0.2, 60, 3600, 0, 1000, 0, 3, 3600,    Sidekick Combat Drone   AryxATLASAmmoDroneWC   Falcon Combat Drone   120mm Heavy Shell   Stormrider Combat Drone   AryxEnergyNovaAmmo
Ariadne 1200mm Gauss Turret, 10000, 0, 0, 45, Accurate, 0.0025, 0.0025, 0, 30, 1200, 0, 70000, 9000, 0, 0,    AryxGaussAmmoWC
ZARYA Pulse Laser, 0, 0, 0.1, 0, Accurate, 0, 0, 0, 300, 0, 20, 2500, 150, 0, 0,    Zarya Pulse Laser
Prometheus Focus Beam, 0, 0, 0, 1, Accurate, 0, 0, 0, 3600, 300, 100, 24400, 900, 61, 300,    AryxSmallFocusBeamLanceAmmo   AryxSmallFocusPulseLanceAmmo
Torpedo Launcher, 10000, 0, 0, 1, Off, 0, 0, 0.05, 30, 600, 0, 1000, 0, 0, 0,    Devastator Fusion Torpedo   Shieldbreaker-Devastator Torpedo   Devastator Torpedo   AryxEnergyTorpEMPCharge   AryxEnergyTorp   Ion Devastator Torpedo   Concussion Devastator Launched   Concussion Devastator EMP   AryxKineticFrags
Tsunami Heavy Cannon, 0, 0, 0.25, 1, Advanced, 0.005, 0.005, 0, 120, 600, 0, 70000, 9000, 2, 600,    480mm Heavy Shell   AryxKineticFrags
Predator 850mm Coilgun, 0, 0, 0, 1, Accurate, 0, 0, 0, 60, 2100, 0, 70000, 9000, 0, 0,    850mm Ferrous   AryxHeavyCoilgunPiercingAmmoWC
Masha Tesla Beam, 0, 0, 3, 1, Off, 0, 0, 0, 3600, 0, 100, 20000, 900, 0, 0,    AryxTeslaBeamAmmo
AC-85 Echo, 6000, 0, 0.005, 1, Advanced, 0.05, 0.05, 0, 120, 150, 0, 70000, 9000, 0, 0,    85mm AP ECHO   85mm HE ECHO   HE Echo Frags
Antaeus 115mm Railgun, 0, 0, 0, 0, Off, 0, 0, 0.025, 120, 300, 0, 1000, 0, 0, 0,    AryxPDRailgunAmmo
Warrior Heavy Gatling, 1500, 0, 0.25, 1, Off, 0.01, 0.01, 0.05, 420, 0, 0, 1000, 0, 0, 0,    AryxWarriorAmmoAP
Spartan Plasma Cannon, 2500, 0, 0.1, 1, Accurate, 0.02, 0.02, 0, 420, 0, 0, 10000, 300, 0, 0,    Spartan Energy Bolt
Vulcan Turret, 2000, 0, 0.1, 5, Accurate, 0.11, 0.11, 0, 3600, 300, 0, 70000, 9000, 0, 0,    MG61T Vulcan Ammo
Flare Launcher, 0, 0, 0, 0, Off, 0, 0, 0, 10, 300, 0, 70000, 9000, 0, 0,    Red Flare   Red Flare Burn   Blue Flare   Blue Flare Burn   Green Flare   Green Flare Burn
Modulus Variable Laser, 1500, 0, 0, 1, Off, 0.08, 0.045, 0, 3600, 1, 10, 6000, 200, 0, 0,    720nm Laser - MODRED   580nm Laser - MODYEL   525nm Laser - MODGRN   450nm Laser - MODBLU   380nm Laser - MODVIO
Windfall Heavy Cannon, 0, 0, 0.125, 1, Off, 0, 0, 0, 120, 600, 0, 70000, 9000, 1, 0,    240mm Heavy Shell [Windfall]   AryxKineticFrags
Furion Plasma Thrower, 0, 0, 1, 1, Off, 0, 0, 0, 1800, 0, 150, 27000, 900, 0, 0,    Furion Plasma
Pulsar Shock Cannon, 0, 0, 0, 1, Accurate, 0.005, 0.005, 0, 60, 300, 99, 300, 30, 0, 0,    Pulsar Energy Bolt
Large Flare Launcher, 0, 0, 0.25, 0, Off, 0, 0, 0, 300, 900, 0, 70000, 9000, 0, 0,    Red Flare   Red Flare Burn   Blue Flare   Blue Flare Burn   Green Flare   Green Flare Burn
Gladiator Tactical Launcher, 0, 1000, 0.15, 1, Off, 0, 0, 0.05, 360, 1800, 0, 1000, 0, 8, 1800,    Gladius Missile   Gladius Missile Launched   Impulse Gladius Missile   Impulse Gladius Missile Launched   Gladius Phase Missile   Gladius Phase Missile Launched
Centurion Ion Cannon, 0, 0, 0, 1, Off, 0, 0, 0, 3600, 1800, 100, 24400, 900, 121, 1800,    Centurion Ion Beam   Centurion Ion Pulse   Centurion EMP Fragment   Centurion JumpNull Fragment   Centurion Ion Beam Muzzleflash
Medusa Phase Cannon, 0, 0, 0.12, 1, Advanced, 0.002, 0.002, 0.01, 30, 30, 0, 1000, 0, 0, 0,    Medusa Phase Bolt
Avalanche Siege Cannon, 5000, 0, 1, 0.100000001490116, Advanced, 0.0015, 0.0015, 0, 60, 1050, 0, 70000, 9000, 1, 0,    1000mm Avalanche Mortar Shell   AryxKineticFrags
Graviton Tractor Beam, 0, 0, 0, 1, Off, 0, 0, 0, 3600, 0, 0, 8000, 0, 0, 0,    Mini Graviton Traction Beam
Argus PDL, 500, 0, 0, 0.150000005960464, Off, 0.12, 0.12, 0, 90, 0, 0, 4800, 0, 0, 0,    Argus Laser
Bomb Launcher, 0, 0, 0, 1, Off, 0, 0, 0.05, 30, 900, 0, 1000, 0, 0, 0,    Shrike Bomb
Starfall Rocket Artillery, 15000, 3000, 0.5, 45, Off, 0.001, 0.001, 10, 180, 1800, 0, 1000, 0, 0, 0,    Starfall Rail-Rocket   Starfall Rail-Rocket Flight Stage   Starfall Rail-Rocket Deadlock Stage   AryxKineticFrags
Storm Light Cannon, 0, 0, 0.2, 1, Off, 0, 0, 0.01, 30, 600, 0, 1000, 0, 0, 0,    120mm Heavy Shell [Storm]   AryxKineticFrags
Sabre Missile Hardpoint, 0, 0, 0, 1, Off, 0, 0, 0.025, 60, 900, 0, 1000, 0, 0, 0,    Sabre Missile Single-use
Spartan Plasma Rifle, 2500, 0, 0.1, 1, Off, 0, 0, 0, 210, 0, 0, 10000, 300, 0, 0,    Spartan Energy Bolt
Nova Phase Blaster, 1500, 0, 0.1, 5, Off, 0, 0, 0, 240, 0, 0, 70000, 9000, 0, 0,    AryxNovaAmmo
Nucleon Laser Shotgun, 0, 0, 2, 5, Accurate, 0, 0, 0.05, 400, 300, 0, 1000, 0, 0, 0,    AryxNucleonLaserAmmo
Nyx Missile Hardpoint, 0, 0, 0, 1, Off, 0, 0, 0.025, 60, 900, 0, 1000, 0, 0, 0,    Nyx Phase Missile   Nyx Phase Missile Launched
Gravastar Pulse Laser, 1200, 0, 0, 1, Off, 0, 0, 0, 3600, 0, 0, 8000, 0, 120, 300,    400nm Pulse Laser
Mark 40 Spitfire, 4500, 0, 0.175, 0.800000011920929, Advanced, 0.0085, 0.0075, 0, 60, 90, 0, 70000, 9000000, 0, 0,    AP   MXA_CoilgunH_APFuse   MXA_CoilgunH_Shrapnel   HE   Guided   MXA_CoilgunH_GAmmo
M66 Sentry, 3500, 0, 0.4, 0.200000002980232, Advanced, 0.03, 0.02, 0, 360, 220, 0, 70000, 9000000, 6, 0,    AP   MXA_CoilgunL_Shrapnel   Flak   MXA_CoilgunL_Flak
M910 Point Defense, 1500, 100, 0.01725, 1, Advanced, 0.04, 0.02, 0, 360, 0, 0, 70000, 9000000, 0, 0,    HE   Prox
M910 Point Defense, 1500, 100, 0.01725, 1, Advanced, 0.04, 0.02, 0, 360, 0, 0, 70000, 9000000, 0, 0,    HE   Prox
M870 Point Defense, 1250, 50, 0.1725, 1, Advanced, 0.04, 0.02, 0, 420, 0, 0, 70000, 9000000, 0, 0,    HE   Prox
M870 Point Defense, 1250, 50, 0.1725, 1, Advanced, 0.04, 0.02, 0, 420, 0, 0, 70000, 9000000, 0, 0,    HE   Prox
Mark 15 Breakwater, 5500, 0, 0.15, 0.800000011920929, Advanced, 0.004, 0.003, 0, 405, 600, 0, 70000, 9000000, 0, 0,    AP   MXA_BreakWater_APFuse   MXA_BreakWater_Shrapnel   HE   Guided   MXA_BreakWater_GAmmo
M1024 ASW/AC 30mm, 1250, 0, 0.1725, 1, Advanced, 0, 0, 0, 300, 0, 0, 70000, 9000000, 0, 0,    MXA_Sabre_Coilgun_Ammo   MXA_Sabre_Coilgun_Shrapnel
M1024 ASW/AC 30mm, 1250, 0, 0.1725, 1, Advanced, 0, 0, 0, 300, 0, 0, 70000, 9000000, 0, 0,    MXA_Sabre_Coilgun_Ammo   MXA_Sabre_Coilgun_Shrapnel
11A2R1, 4000, 0, 0.225, 0.200000002980232, Advanced, 0.0085, 0.0065, 0, 90, 0, 0, 70000, 9000000, 0, 0,    AP   MXA_SoFCoilgun_Shrapnel   HE
Mark IX MAC, 0, 0, 0.1, 0.800000011920929, Off, 0, 0, 0, 60, 3600, 0, 70000, 9000000, 1, 246,    Low Power   MXA_MACL_Shrapnel   High Power   MXA_MACL_Impact
Mark IV MAC, 0, 0, 0.01, 0.800000011920929, Off, 0, 0, 0, 60, 1200, 0, 70000, 9000000, 0, 0,    Low Power   MXA_MACL_S_Shrapnel   High Power   MXA_MACL_S_HPAmmo
Series 8 MAC, 0, 0, 0.01, 0.800000011920929, Off, 0, 0, 0, 60, 3600, 0, 70000, 9000000, 0, 0,    Low P   MXA_SMAC_Shrapnel   MXA_SMAC_HPAmmo   High Power
Mark II MAC, 0, 0, 0.01, 0.800000011920929, Advanced, 0, 0, 0, 60, 1200, 0, 70000, 9000000, 0, 0,    Low Power   MXA_MACL_S_Shrapnel   High Power   MXA_MACL_S_HPAmmo
Mark II MAC, 0, 0, 0.01, 0.800000011920929, Off, 0, 0, 0, 60, 1200, 0, 70000, 9000000, 0, 0,    Low Power   MXA_M2MAC_S_Shrapnel   High Power   MXA_M2MAC_S_HPAmmo
M42 Archer Missile Pods, 10000, 0, 1, 0, Accurate, 0, 0, 0, 480, 1200, 0, 0, 0, 10, 480,    Explosive   MXA_ArcherPods_AccelStage   MXA_ArcherPods_Stage   MXA_ArcherPods_Shrapnel   Kinetic   MXA_ArcherPods_KineticAccelStage   MXA_ArcherPods_KineticStage   MXA_ArcherPods_KineticShrapnel
M58 Archer Missile Pods, 10000, 0, 1, 0, Off, 0, 0, 0, 480, 1200, 0, 0, 0, 10, 480,    Explosive   MXA_M58ArcherPods_AccelStage   MXA_M58ArcherPods_Stage   MXA_M58ArcherPods_Shrapnel   Kinetic   MXA_M58ArcherPods_KineticAccelStage   MXA_M58ArcherPods_KineticStage   MXA_M58ArcherPods_KineticShrapnel
M58 Archer Missile Pods, 7500, 0, 0, 0, Accurate, 0, 0, 0, 480, 1200, 0, 0, 0, 10, 480,    Explosive   MXA_M58ArcherPods_S_AccelStage   MXA_M58ArcherPods_S_Stage   MXA_M58ArcherPods_S_Shrapnel   Kinetic   MXA_M58ArcherPods_S_KineticAccelStage   MXA_M58ArcherPods_S_KineticStage   MXA_M58ArcherPods_S_KineticShrapnel
Shiva Missile Pod, 12500, 0, 0, 0, Off, 0, 0, 0, 60, 7200, 0, 0, 0, 0, 0,    MXA_Shiva_Ammo   MXA_Shiva_EMPStage   MXA_Shiva_AmmoE
CBU-R68 Moray System, 0, 0, 10, 0, Off, 0, 0, 0, 60, 3600, 0, 70000, 9000000, 0, 0,    Fixed   MXA_Moray_Mine   Smart   MXA_Moray_SMine   MXA_Moray_Shrapnel
Large Gatling Turret, 0, 0, 0.3, 4, Accurate, 0.04, 0.04, 0.01, 700, 240, 0, 100, 0, 0, 0,    25mm NATO
Small Gatling Gun, 0, 0, 0.3, 4, Off, 0, 0, 0.001, 700, 240, 0, 100, 0, 0, 0,    25mm NATO
Small Gatling Gun, 0, 0, 0.3, 4, Off, 0, 0, 0.001, 700, 240, 0, 100, 0, 0, 0,    25mm NATO
Small Gatling Turret, 0, 0, 0.3, 4, Accurate, 0.04, 0.04, 0.005, 700, 360, 0, 100, 0, 0, 0,    25mm NATO
Large Missile Launcher, 0, 0, 0.1, 4, Off, 0, 0, 0.001, 120, 240, 0, 100, 0, 19, 0,    200mm Missile
Large Missile Turret, 0, 0, 0.5, 4, Accurate, 0.03, 0.03, 0.01, 90, 240, 0, 100, 0, 0, 0,    200mm Missile
Small Missile Launcher, 0, 0, 0.1, 4, Off, 0, 0, 0.001, 60, 60, 0, 100, 0, 4, 60,    200mm Missile
Small Missile Launcher, 0, 0, 0.1, 4, Off, 0, 0, 0.001, 60, 60, 0, 100, 0, 4, 60,    200mm Missile
Reloadable Missile Launcher, 0, 0, 0.1, 4, Off, 0, 0, 0.001, 60, 60, 0, 100, 0, 4, 0,    200mm Missile
Small Missile Turret, 0, 0, 0.5, 4, Accurate, 0.03, 0.03, 0.005, 90, 360, 0, 100, 0, 0, 0,    200mm Missile
Interior Turret, 0, 0, 0.1, 1, Accurate, 0.04, 0.04, 0, 600, 180, 0, 100, 0, 0, 0,    MR-50A   5.56x45mm
Autocannon, 0, 0, 0.15, 2, Off, 0, 0, 0.001, 150, 24, 0, 100, 0, 0, 0,    Autocannon Shell
Autocannon Turret, 0, 0, 0.25, 2, Accurate, 0.03, 0.03, 0.005, 150, 24, 0, 100, 0, 0, 0,    Autocannon Shell
Large Assault Cannon Turret, 0, 0, 0.35, 2, Accurate, 0.01, 0.01, 0.01, 180, 360, 0, 100, 0, 0, 0,    Assault Cannon Shell
Assault Cannon, 0, 0, 0.2, 2, Off, 0, 0, 0.001, 200, 360, 0, 100, 0, 0, 0,    Assault Cannon Shell
Small Assault Cannon Turret, 0, 0, 0.5, 2, Accurate, 0.02, 0.02, 0.005, 200, 360, 0, 100, 0, 0, 0,    Assault Cannon Shell
Artillery, 0, 0, 0.15, 2, Off, 0, 0, 0.0025, 80, 720, 0, 100, 0, 0, 0,    Artillery Shell
Artillery Turret, 0, 0, 0.3, 2, Advanced, 0.005, 0.005, 0.02, 80, 720, 0, 100, 0, 0, 0,    Artillery Shell
Large Railgun, 0, 0, 0, 2, Off, 0, 0, 0.001, 20, 3600, 0, 100, 0, 0, 0,    Large Railgun Slug
Small Railgun, 0, 0, 0, 2, Off, 0, 0, 0.0001, 20, 1200, 0, 100, 0, 0, 0,    Small Railgun Slug
75mm Railgun Turret, 3000, 0, 0.1, 0.150000005960464, Advanced, 0.008, 0.004, 0, 60, 60, 4000, 60000, 1000, 0, 0,    R75ammo   railgunShrapnel   RailFXshots   RailFXshots2
75mm Railgun, 0, 0, 0.05, 1, Off, 0, 0, 0, 60, 60, 4000, 35000, 750, 0, 0,    R75ammo   railgunShrapnel   RailFXshots   RailFXshots2
150mm Railgun, 0, 0, 0.05, 1, Accurate, 0, 0, 0, 30, 120, 12000, 35000, 750, 0, 0,    R150ammo   railgunShrapnel2   RailFXshot   RailFXshot2   railgunShrapnel2B
150mm Railgun Turret, 4000, 0, 0.15, 0.800000011920929, Advanced, 0.005, 0.003, 0, 20, 180, 12000, 120000, 2000, 0, 0,    R150ammo   railgunShrapnel2   RailFXshot   RailFXshot2   railgunShrapnel2B
250mm Railgun, 0, 0, 0.05, 1, Accurate, 0, 0, 0, 30, 300, 13500, 60000, 750, 0, 0,    R250ammo   railgunShrapnel3   RailFXshotl   RailFXshotl2
RailgunxTurretD, 5000, 0, 0.1, 1, Advanced, 0.002, 0.002, 0, 80, 850, 1, 700, 5, 0, 0,    R250ammo   railgunShrapnel3   RailFXshotl   RailFXshotl2
RailgunxTurret1, 5000, 0, 0.25, 1, Advanced, 0, 0.002, 0, 30, 300, 13500, 60000, 1000, 0, 0,    R250ammo   railgunShrapnel3   RailFXshotl   RailFXshotl2
RailgunxTurret2, 5000, 0, 0.25, 1, Advanced, 0, 0.002, 0, 30, 290, 13500, 60000, 1000, 0, 0,    R250ammo   railgunShrapnel3   RailFXshotl   RailFXshotl2
RailgunxTurret3, 5000, 0, 0.25, 1, Advanced, 0, 0.002, 0, 30, 280, 13500, 60000, 1000, 0, 0,    R250ammo   railgunShrapnel3   RailFXshotl   RailFXshotl2
Discoball Laser AMS, 0, 80, 0, 5, Off, 0.1, 0.1, 0, 3600, 0, 75, 70000, 2000, 0, 0,    AMSLaser
30mm Rotary Cannon, 0, 0, 0.35, 1, Accurate, 0, 0, 0, 3000, 240, 0, 70000, 3200, 0, 0,    30mmAmmoT   30mmAmmoAP   30mmAmmoHE   30mmDUAmmo   30mmAmmoDU   30mmCRAMAmmo   30mmCRAMAmmoS   30mmAmmoTR
