09-22-23_03-05-53-916 - Logging Started
03-08-41-307 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
03-10-08-948 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[8] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
03-10-11-949 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[24] Aim:[37] CCast:[2] RndCast[10] TopCast[0]
03-10-14-949 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[64] Aim:[83] CCast:[0] RndCast[57] TopCast[0]
03-10-18-111 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[12] Aim:[26] CCast:[0] RndCast[0] TopCast[0]
03-10-21-113 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[22] Aim:[39] CCast:[2] RndCast[10] TopCast[0]
03-10-24-271 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[19] Aim:[36] CCast:[4] RndCast[7] TopCast[0]
03-10-27-272 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[8] Aim:[26] CCast:[0] RndCast[4] TopCast[0]
03-10-30-432 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[15] Aim:[32] CCast:[2] RndCast[6] TopCast[0]
03-10-33-432 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[61] Aim:[81] CCast:[0] RndCast[57] TopCast[0]
03-10-37-071 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[14] Aim:[34] CCast:[2] RndCast[6] TopCast[0]
03-10-40-072 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[13] Aim:[35] CCast:[1] RndCast[7] TopCast[0]
03-10-43-232 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[8] Aim:[25] CCast:[1] RndCast[3] TopCast[0]
03-10-46-232 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[65] Aim:[76] CCast:[0] RndCast[57] TopCast[0]
03-10-49-232 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[13] Aim:[34] CCast:[2] RndCast[6] TopCast[0]
03-10-52-391 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[86] Aim:[96] CCast:[27] RndCast[38] TopCast[0]
03-10-55-390 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[34] Aim:[38] CCast:[2] RndCast[6] TopCast[0]
03-10-58-549 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[61] Aim:[84] CCast:[0] RndCast[57] TopCast[0]
03-11-01-551 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[14] Aim:[30] CCast:[2] RndCast[6] TopCast[0]
03-11-05-175 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[127] Aim:[149] CCast:[26] RndCast[88] TopCast[0]
03-11-08-175 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[70] Aim:[91] CCast:[28] RndCast[37] TopCast[0]
03-11-11-339 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[13] Aim:[33] CCast:[1] RndCast[3] TopCast[0]
03-11-14-340 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[67] Aim:[88] CCast:[1] RndCast[60] TopCast[0]
03-11-17-340 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[66] Aim:[84] CCast:[1] RndCast[60] TopCast[0]
03-11-20-501 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[10] Aim:[27] CCast:[1] RndCast[3] TopCast[0]
03-11-23-501 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[71] Aim:[90] CCast:[27] RndCast[34] TopCast[0]
03-11-26-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[83] Aim:[104] CCast:[28] RndCast[37] TopCast[0]
03-11-29-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[61] Aim:[84] CCast:[0] RndCast[57] TopCast[0]
03-11-32-825 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[72] Aim:[91] CCast:[27] RndCast[34] TopCast[0]
03-11-36-312 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[12] Aim:[31] CCast:[0] RndCast[0] TopCast[0]
03-11-39-468 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[124] Aim:[142] CCast:[27] RndCast[91] TopCast[0]
03-11-42-469 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[13] Aim:[34] CCast:[1] RndCast[3] TopCast[0]
03-11-45-637 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[23] Aim:[41] CCast:[2] RndCast[6] TopCast[0]
03-11-48-637 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[175] Aim:[198] CCast:[52] RndCast[119] TopCast[0]
03-11-51-801 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[14] Aim:[34] CCast:[1] RndCast[3] TopCast[0]
03-11-54-801 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[69] Aim:[88] CCast:[26] RndCast[31] TopCast[0]
03-11-57-801 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[75] Aim:[93] CCast:[28] RndCast[37] TopCast[0]
03-12-00-959 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[65] Aim:[86] CCast:[1] RndCast[60] TopCast[0]
03-12-03-959 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[72] Aim:[91] CCast:[27] RndCast[34] TopCast[0]
03-12-07-582 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[118] Aim:[139] CCast:[26] RndCast[88] TopCast[0]
03-12-10-583 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[10] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
03-12-13-743 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[136] Aim:[157] CCast:[29] RndCast[97] TopCast[0]
03-12-16-743 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[13] Aim:[29] CCast:[2] RndCast[6] TopCast[0]
03-12-19-744 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[118] Aim:[138] CCast:[26] RndCast[88] TopCast[0]
03-12-22-902 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[6] Aim:[26] CCast:[0] RndCast[0] TopCast[0]
03-12-25-902 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[74] Aim:[94] CCast:[2] RndCast[63] TopCast[0]
03-12-28-903 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[124] Aim:[145] CCast:[53] RndCast[65] TopCast[0]
03-12-32-063 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[70] Aim:[92] CCast:[2] RndCast[63] TopCast[0]
03-12-35-065 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[66] Aim:[83] CCast:[27] RndCast[34] TopCast[0]
03-12-38-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[69] Aim:[90] CCast:[26] RndCast[31] TopCast[0]
03-12-41-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[71] Aim:[92] CCast:[1] RndCast[60] TopCast[0]
03-12-44-830 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[71] Aim:[91] CCast:[28] RndCast[37] TopCast[0]
03-12-47-831 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[21] Aim:[43] CCast:[1] RndCast[3] TopCast[0]
03-12-50-990 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[123] Aim:[141] CCast:[26] RndCast[88] TopCast[0]
03-12-53-990 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[10] Aim:[27] CCast:[1] RndCast[3] TopCast[0]
03-12-56-992 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[12] Aim:[33] CCast:[1] RndCast[3] TopCast[0]
03-13-00-153 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[135] Aim:[157] CCast:[28] RndCast[94] TopCast[0]
03-13-03-155 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[62] Aim:[83] CCast:[26] RndCast[31] TopCast[0]
03-13-06-153 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[76] Aim:[96] CCast:[27] RndCast[34] TopCast[0]
03-13-09-792 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[65] Aim:[84] CCast:[0] RndCast[57] TopCast[0]
03-13-15-702 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[67] Aim:[84] CCast:[27] RndCast[34] TopCast[0]
03-13-18-865 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[70] Aim:[90] CCast:[27] RndCast[36] TopCast[0]
03-13-21-865 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[30] Bloc:[8] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
03-13-24-865 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[182] Aim:[202] CCast:[53] RndCast[122] TopCast[0]
03-13-28-039 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[70] Aim:[92] CCast:[2] RndCast[63] TopCast[0]
03-13-31-038 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[65] Aim:[82] CCast:[27] RndCast[34] TopCast[0]
03-13-34-205 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[22] Aim:[40] CCast:[3] RndCast[11] TopCast[0]
03-13-37-204 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[3] Aim:[27] CCast:[0] RndCast[0] TopCast[0]
03-13-40-847 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[125] Aim:[144] CCast:[27] RndCast[91] TopCast[0]
03-13-43-847 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[17] Aim:[37] CCast:[2] RndCast[6] TopCast[0]
